Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry,serial
NB00002022M,2,,1,1,2.62,,
NB00002023M,2,,1,1,2.62,,
NB00002024M,2,,1,1,2.62,,
NB00002025M,2,,1,1,2.62,,
NB00002026M,2,,1,1,2.62,,
NB00002027M,2,,1,1,2.62,,
NB00002028M,2,,1,1,2.62,,
NB00002029M,2,,1,1,2.62,,
NB00002030M,2,,1,1,2.62,,
NB00002031M,2,,1,1,2.62,,
NB00002032M,2,,1,1,2.62,,
NB00002033M,2,,1,1,2.62,,
NB00002045M,2,,1,1,2.62,,
NB00002046M,2,,1,1,2.62,,
NB00002047M,2,,1,1,2.62,,
NB00002048M,2,,1,1,2.62,,
NB00002049M,2,,1,1,2.62,,
NB00002050M,2,,1,1,2.62,,
NB00002051M,2,,1,1,2.62,,
NB00002066M,2,,1,1,2.62,,
NB00002067M,2,,1,1,2.62,,
NB00002068M,2,,1,1,2.62,,
SB00002028M,2,,1,1,2.62,,
DR00001850M,2,,1,1,2.62,,
DR00001852M,2,,1,1,2.62,,
SB00002089M,2,,1,1,2.62,,
SB00002093M,2,,1,1,2.62,,
TB00002070M,2,,1,1,2.62,,
TB00002097M,2,,1,1,2.62,,
NB00002085M,2,,1,1,2.62,,
NB00002095M,2,,1,1,2.62,,
NB00002100M,2,,1,1,2.62,,
NB00002101M,2,,1,1,2.62,,
TB00002103M,2,,1,1,2.62,,
TB00002104M,2,,1,1,2.62,,
TB00002105M,2,,1,1,2.62,,
TB00002106M,2,,1,1,2.62,,
TB00002107M,2,,1,1,2.62,,
TB00002108M,2,,1,1,2.62,,
TB00002109M,2,,1,1,2.62,,
TB00002110M,2,,1,1,2.62,,
TB00002111M,2,,1,1,2.62,,
TB00002112M,2,,1,1,2.62,,
TB00002116M,2,,1,1,2.62,,
TB00002146M,2,,1,1,2.62,,
DR0045211,2,,1,1,2.62,,
DR0045197,2,,1,1,2.62,,
DR0045199,2,,1,1,2.62,,
DR0045171,2,,1,1,2.62,,
DR0045186,2,,1,1,2.62,,
DR0045190,2,,1,1,2.62,,
DR0045176,2,,1,1,2.62,,
DR0042936,2,,1,1,2.62,,
DR0042937,2,,1,1,2.62,,
DR00002905,2,,1,1,2.62,,
DR00002906,2,,1,1,2.62,,
DR00002907,2,,1,1,2.62,,
DR00002908,2,,1,1,2.62,,
DR00002909,2,,1,1,2.62,,
DR00002910,2,,1,1,2.62,,
DR00002911,2,,1,1,2.62,,
DR00002912,2,,1,1,2.62,,
DR00002913,2,,1,1,2.62,,
DR00002914,2,,1,1,2.62,,
DR00002915,2,,1,1,2.62,,
DR00002916,2,,1,1,2.62,,
DR00002917,2,,1,1,2.62,,
DR00002918,2,,1,1,2.62,,
DR00002963,2,,1,1,2.62,,
DR00002964,2,,1,1,2.62,,
DR00002965,2,,1,1,2.62,,
DR00002966,2,,1,1,2.62,,
DR00002967,2,,1,1,2.62,,
DR00002968,2,,1,1,2.62,,
DR00002969,2,,1,1,2.62,,
DR00002970,2,,1,1,2.62,,
DR00002971,2,,1,1,2.62,,
DR00002972,2,,1,1,2.62,,
DR00002973,2,,1,1,2.62,,
DR00002974,2,,1,1,2.62,,
DR00002975,2,,1,1,2.62,,
DR00002976,2,,1,1,2.62,,
DR00002977,2,,1,1,2.62,,
